name, frequency, lat, lng
california, 17, 36.374106, -119.270230
vietnam, 6, 16.166670, 107.833330
oregon, 6, 43.938780, -120.558561
warren, 4, 42.477540, -83.027700
chicago, 1, 41.884250, -87.632450
houston, 1, 29.760780, -95.369520
