id, x, y, freq, label
163, -57.150131, -15.868361, 53, family
164, -43.123543, -31.152933, 57, park
165, -36.741291, -35.815346, 48, present
166, -52.664356, -22.184269, 52, real
167, -53.942856, -21.909355, 57, south
168, -51.859264, -22.029089, 40, yesler
169, -47.857399, -27.765471, 63, peoples
170, -53.745605, -22.201891, 55, became
171, -49.650356, -21.951859, 56, charles
172, -43.849674, -31.779430, 55, residents
173, -38.687305, -32.175289, 56, daily
174, -56.000454, -19.677193, 54, island
175, -44.671898, -28.750343, 56, decades
176, -57.015659, -18.126925, 54, back
177, -50.427750, -25.993572, 54, likely
178, -49.738781, -27.801439, 54, families
179, -46.592995, -28.173054, 36, year
180, -29.127972, -37.942310, 53, kind
181, -50.648048, -22.032413, 52, henry
182, -51.494297, -24.802221, 53, street
183, -55.577888, -20.153976, 52, might
184, -53.304066, -22.544561, 53, away
185, -48.783188, -27.535561, 51, others
186, -35.556160, -35.910305, 49, histories
187, -49.243111, -26.370449, 51, fire
188, -44.906361, -30.226120, 49, ways
189, -36.269485, -36.572823, 43, twentieth
190, -46.477310, -28.095442, 52, environmental
191, -40.330803, -31.541464, 50, service
192, -17.372728, -39.471043, 51, days
193, -46.879623, -28.183445, 50, every
194, -42.056316, -28.155518, 44, smith
195, -47.955032, -26.442621, 43, area
196, -44.828415, -28.087225, 48, western
197, -43.299023, -31.250423, 47, remained
198, -44.829304, -29.885967, 49, settlement
199, 43.936844, -15.850842, 49, ed
200, -49.658836, -27.093328, 47, creation
201, -49.328674, -26.674419, 43, fish
202, -47.014420, -26.473152, 46, fort
203, -43.987038, -30.482681, 47, muckleshoot
204, -52.541832, -22.405310, 48, recalled
205, -17.272093, -33.025768, 48, july
206, -56.079647, -19.220844, 42, hill
207, -52.865486, -23.326054, 47, spirit
208, -35.809181, -34.355583, 47, last
209, -32.112621, -33.595608, 47, united
210, -26.070948, -37.244232, 43, modern
211, -47.218990, -27.758904, 46, brought
212, -32.231796, -30.982653, 46, november
213, -35.024193, -35.615498, 44, communities
214, -40.419144, -33.055630, 46, change
215, -49.085152, -25.732395, 41, large
216, -32.096081, -37.074009, 45, development
217, -49.889202, -26.684626, 42, social
218, -48.823925, -27.268917, 69, us
219, -47.659405, -28.020792, 44, three
220, -49.840229, -25.827705, 40, four
221, -35.368134, -36.553757, 45, union
222, -43.256584, -29.895332, 41, downtown
223, -50.726212, -24.919470, 35, high
224, -41.295303, -33.014778, 45, across
225, -22.893335, -35.240524, 42, frontier
226, -34.008301, -33.218445, 43, league
227, -48.486130, -25.404543, 45, several
228, -52.148273, -23.622057, 42, woman
229, -51.460148, -24.632160, 44, wife
230, -41.448265, -29.814129, 45, tilikums
231, -35.357777, -35.782280, 43, perhaps
232, -43.563038, -29.570248, 44, canoes
233, -42.106094, -30.092386, 44, use
234, -43.073505, -29.190712, 44, words
235, -43.911869, -31.682476, 42, settler
236, -14.837297, -40.323479, 13, crossing
237, -41.964790, -31.652674, 44, pioneers
238, -39.486229, -33.637962, 43, together
239, -19.408602, -38.451942, 41, art
240, -40.239189, -32.542980, 42, reservation
241, -31.072535, -33.350151, 42, salish
242, -31.413399, -32.582390, 43, books
243, -38.763321, -34.256237, 42, never
244, -37.111328, -32.463398, 41, book
245, -42.064293, -29.959333, 41, national
246, -39.612656, -33.567429, 42, though
247, -45.366997, -29.510792, 42, future
248, -28.872686, -36.390789, 41, make
249, -39.886410, -32.005093, 39, growth
250, -23.724943, -36.068584, 35, america
251, -39.608929, -33.499321, 38, less
252, -29.139750, -36.832741, 40, presence
253, -44.143265, -30.593702, 41, set
254, -40.175575, -33.557903, 40, young
255, -28.977396, -35.382038, 40, second
256, -34.993916, -35.351604, 40, important
257, -34.113602, -32.305637, 38, illahee
258, -37.326603, -31.554890, 39, village
259, -22.157953, -36.410992, 40, case
260, -39.111641, -32.977371, 39, black
261, -18.856361, -36.800594, 38, culture
262, -19.933323, -36.461262, 37, country
263, -39.733150, -31.443663, 39, tlingit
